Month_Index,Station 1,Station 2,Station 3,Station 4,Station 5,Station 6,Station 7,Station 8,Station 9
170,118.0,101.0,87.0,63.0,77.0,87.0,33.0,38.5,48.7
171,68.0,95.5,61.0,42.0,52.0,66.0,48.0,84.0,44.5
172,17.5,23.0,19.0,15.0,9.5,13.0,8.0,13.5,5.2
173,156.5,187.0,120.0,161.0,107.5,103.0,109.0,122.5,122.0
174,51.5,67.5,50.5,44.0,39.0,41.0,23.5,27.5,24.2
175,105.5,133.0,101.5,96.0,86.5,77.0,41.0,91.5,52.3
176,52.0,59.0,47.0,68.0,49.2,41.5,35.5,40.0,42.3
177,8.0,8.5,5.5,13.0,2.0,2.0,4.5,26.5,3.0
178,19.0,18.5,24.5,18.0,18.5,16.0,9.0,6.5,9.9
179,103.5,90.5,47.5,4.0,10.0,23.0,0.0,0.0,0.0
180,16.0,24.5,9.5,5.0,1.0,0.0,4.5,10.5,6.0
